country,cases,deaths,sequences,seqs_per_10k_cases,seqs_per_1k_deaths,log_seqs_per_1k_deaths
Suriname,5337,117,71,133.034,606.838,6.408261869112811
Guyana,5811,154,0,0,0,NA
Uruguay,8487,90,135,159.067,1500,7.313220387090301
Paraguay,90958,1914,0,0,0,NA
Venezuela,106280,938,12,1.129,12.793,2.548898146334898
Bolivia,146385,9008,0,0,0,NA
Panama,185424,3287,314,16.934,95.528,4.559419398231084
Ecuador,200379,13850,160,7.985,11.552,2.4468585821504703
Chile,566440,15774,613,10.822,38.861,3.659991177020151
Peru,979111,36499,355,3.626,9.726,2.2748027119815943
Colombia,1400000,38484,218,1.557,5.665,1.7343068944799696
Argentina,1480000,40431,50,0.338,1.237,0.21268909341035092
Brazil,6780000,179765,1818,2.681,10.113,2.3138217249200332
