Province,Cases,Deaths,Sequences,Seqs_per_1k_Deaths
El Oro,7732,752,4,5
Esmeraldas,4935,291,6,21
Guayas,26080,3535,44,12
Los Rios,4707,603,14,23
Manabi,14061,2316,7,3
Santa Elena,2420,663,2,3
Santo Domingo,5744,487,3,6
Azuay,12670,239,4,17
Bolivar,2463,85,3,35
Canar,2576,105,1,10
Carchi,3399,116,1,9
Chimborazo,2986,467,3,6
Cotopaxi,5274,368,2,5
Imbabura,5695,209,18,86
Loja,7252,292,6,21
Pichincha,72305,2288,20,9
Tungurahua,6971,636,3,5
Morona Santiago,3422,35,2,57
Napo,1605,77,3,39
Orellana,2100,70,4,57
Pastaza,2360,78,2,26
Sucumbios,2934,101,3,30
Zamora Chinchipe,1628,56,4,71
Galapagos,861,6,1,167
