tip	date	distance	residual
hCoV-19/Australia/NSW25/2020|EPI_ISL_417388|2020-03-05	2020.1748633879781	3.3575112290564976E-4	1.7672403150228414E-5
hCoV-19/Philippines/PGC06/2020|EPI_ISL_434558|2020-03-28	2020.2377049180327	3.3575112290564976E-4	-4.053724155148378E-5
hCoV-19/Brazil/SC-766/2020|EPI_ISL_427305|2020-03-10	2020.188524590164	3.367511229056498E-4	6.018132562841776E-6
hCoV-19/SaudiArabia/KAIMRC01/2020|EPI_ISL_507010|2020-03-09	2020.1857923497269	3.377511229056498E-4	9.548986680230315E-6
hCoV-19/SaudiArabia/KAIMRC-Alghoribi/2020|EPI_ISL_416432|2020-03-07	2020.1803278688524	3.377511229056498E-4	1.4610694915451433E-5
hCoV-19/Australia/NSW2308/2020|EPI_ISL_678306|2020-05-23	2020.3907103825136	5.3475112290565E-4	1.6734927869874704E-5
hCoV-19/Malaysia/3012/2020|EPI_ISL_501199|2020-03-29	2020.24043715847	4.3575112290564975E-4	5.693190433068361E-5
hCoV-19/Myanmar/MMC_137/2020|EPI_ISL_512844|2020-04-22	2020.3060109289618	4.347511229056497E-4	-4.808594488639169E-6
hCoV-19/Brunei/4/2020|EPI_ISL_435676|2020-03-21	2020.2185792349726	3.3975112290564975E-4	-1.88212627293201E-5
hCoV-19/Malaysia/2065/2020|EPI_ISL_501189|2020-03-26	2020.2322404371585	3.907511229056498E-4	1.9524466683293286E-5
hCoV-19/Malaysia/5425/2020|EPI_ISL_501212|2020-04-04	2020.2568306010928	3.907511229056498E-4	-3.25322037386948E-6
hCoV-19/Malaysia/2251/2020|EPI_ISL_501192|2020-04-23	2020.308743169399	3.9175112290564977E-4	-5.0339448606027644E-5
hCoV-19/Malaysia/2363/2020|EPI_ISL_501194|2020-03-27	2020.2349726775956	4.4075112290564976E-4	6.699361256590474E-5
hCoV-19/Malaysia/3706/2020|EPI_ISL_501209|2020-03-31	2020.2459016393443	4.4075112290564976E-4	5.687019609590659E-5
hCoV-19/Malaysia/2813/2020|EPI_ISL_501197|2020-03-28	2020.2377049180327	6.837511229056503E-4	3.0746275844851676E-4
hCoV-19/Malaysia/3097/2020|EPI_ISL_501200|2020-05-04	2020.3387978142077	3.8875112290564975E-4	-8.11788438981895E-5
hCoV-19/Malaysia/MGI-M71/2020|EPI_ISL_528741|2020-04-02	2020.2513661202186	3.3975112290564975E-4	-4.91915121390925E-5
hCoV-19/India/DL-MaxCov0003-CSIR-IGIB/2020|EPI_ISL_459911|2020-05-09	2020.3524590163934	3.8875112290564975E-4	-9.383311448557616E-5
hCoV-19/Malaysia/IMR_WC80066/2020|EPI_ISL_490092|2020-05-23	2020.3907103825136	5.3775112290565E-4	1.9734927869874668E-5
hCoV-19/Malaysia/MGI-MAEPS67/2020|EPI_ISL_528744|2020-06-04	2020.4234972677596	5.367511229056501E-4	-1.1635321539897646E-5
hCoV-19/Malaysia/MGI-MAEPS41/2020|EPI_ISL_582124|2020-06-03	2020.4207650273224	5.8375112290565E-4	3.789553257749082E-5
hCoV-19/Malaysia/IMR-WC9185/2020|EPI_ISL_489994|2020-03-30	2020.2431693989072	4.837511229056497E-4	1.0240105021329507E-4
hCoV-19/Singapore/99/2020|EPI_ISL_443191|2020-04-16	2020.2896174863388	3.857511229056498E-4	-3.862346978364189E-5
hCoV-19/Singapore/103/2020|EPI_ISL_443195|2020-03-11	2020.191256830601	3.3975112290564975E-4	6.4872784454532255E-6
hCoV-19/Singapore/782/2020|EPI_ISL_509392|2020-06-18	2020.4617486338798	6.317511229056501E-4	4.793272081555296E-5
hCoV-19/Singapore/1343/2020|EPI_ISL_648692|2020-06-09	2020.4371584699454	5.827511229056501E-4	2.1710407872715725E-5
hCoV-19/Australia/VIC1631/2020|EPI_ISL_456536|2020-05-14	2020.3661202185792	5.337511229056501E-4	3.851261492703755E-5
hCoV-19/India/AP-NCDC-3936/2020|EPI_ISL_436440|2020-04-09	2020.2704918032787	3.367511229056498E-4	-6.990749096125615E-5
hCoV-19/India/TG-CCMB-K599/2020|EPI_ISL_447863|2020-04-14	2020.2841530054645	4.347511229056497E-4	1.5438238451135082E-5
hCoV-19/India/TN-NCDC-2517/2020|EPI_ISL_436418|2020-03-31	2020.2459016393443	2.917511229056498E-4	-9.21298039040934E-5
hCoV-19/Taiwan/299/2020|EPI_ISL_429882|2020-03-29	2020.24043715847	3.857511229056498E-4	6.931904330683639E-6
hCoV-19/Brunei/3/2020|EPI_ISL_435675|2020-03-11	2020.191256830601	3.3375112290564977E-4	4.872784454532423E-7
hCoV-19/Guam/GU_NHG_03/2020|EPI_ISL_445000|2020-03-20	2020.2158469945355	3.3375112290564977E-4	-2.2290408611931568E-5
hCoV-19/Philippines/PGC03/2020|EPI_ISL_434555|2020-03-26	2020.2322404371585	4.7975112290564974E-4	1.0852446668329323E-4
hCoV-19/Taiwan/CGMH-CGU-27/2020|EPI_ISL_452179|2020-04-19	2020.2978142076502	4.8075112290564976E-4	4.87839678639705E-5
hCoV-19/Taiwan/NTU28/2020|EPI_ISL_447622|2020-04-27	2020.3196721311476	4.8075112290564976E-4	2.8537134923974203E-5
hCoV-19/Fujian/IM3520017T/2020|EPI_ISL_431784|2020-03-18	2020.2103825136612	3.827511229056498E-4	3.177129962306756E-5
hCoV-19/Japan/FHU-Cor529/2020|EPI_ISL_707928|2020-06-03	2020.4207650273224	3.827511229056498E-4	-1.631044674225094E-4
hCoV-19/Guam/GU-NHG-02/2020|EPI_ISL_444610|2020-03-24	2020.2267759562842	2.857511229056498E-4	-8.041382508170764E-5
hCoV-19/HongKong/HKU-200723-105/2020|EPI_ISL_498270|2020-05-08	2020.3497267759562	3.817511229056498E-4	-9.830226036796556E-5
hCoV-19/Singapore/936/2020|EPI_ISL_538469|2020-04-02	2020.2513661202186	3.817511229056498E-4	-7.1915121390924526E-6
hCoV-19/Indonesia/JK-EIJK45/2020|EPI_ISL_574614|2020-06-04	2020.4234972677596	4.277511229056498E-4	-1.2063532153989796E-4
hCoV-19/Singapore/1021/2020|EPI_ISL_574506|2020-03-24	2020.2267759562842	3.797511229056498E-4	1.3586174918292363E-5
hCoV-19/Gambia/GC19-026/2020|EPI_ISL_428856|2020-03-21	2020.2185792349726	2.817511229056498E-4	-7.682126272932005E-5
hCoV-19/India/DL-ILBS-9304D/2020|EPI_ISL_605813|2020-04-12	2020.27868852459	2.817511229056498E-4	-1.3250005331364372E-4
hCoV-19/Malaysia/8816/2020|EPI_ISL_501224|2020-03-18	2020.2103825136612	2.817511229056498E-4	-6.922870037693246E-5
hCoV-19/Oman/205037001/2020|EPI_ISL_491985|2020-05-19	2020.379781420765	2.817511229056498E-4	-2.2614165566034943E-4
hCoV-19/India/TG-GMC-RR1191/2020|EPI_ISL_438138|2020-03-25	2020.2295081967213	2.817511229056498E-4	-8.694467919931819E-5
hCoV-19/Malaysia/1399/2020|EPI_ISL_501184|2020-03-25	2020.2295081967213	2.817511229056498E-4	-8.694467919931819E-5
hCoV-19/Senegal/1351/2020|EPI_ISL_480556|2020-03-28	2020.2377049180327	2.817511229056498E-4	-9.453724155148374E-5
hCoV-19/Guam/GU_NHG_01/2020|EPI_ISL_444998|2020-03-26	2020.2322404371585	4.287511229056498E-4	5.752446668329329E-5
hCoV-19/Malaysia/UNIMAS-2426/2020|EPI_ISL_718221|2020-04-17	2020.292349726776	4.7975112290564974E-4	5.284567609896955E-5
hCoV-19/PapuaNewGuinea/2/2020|EPI_ISL_693472|2020-07-21	2020.551912568306	4.347511229056497E-4	-2.32585465061155E-4
hCoV-19/PapuaNewGuinea/5/2020|EPI_ISL_693475|2020-07-20	2020.549180327869	4.347511229056497E-4	-2.300546109437665E-4
hCoV-19/PapuaNewGuinea/7/2020|EPI_ISL_693477|2020-08-29	2020.6584699453551	4.3375112290564976E-4	-3.322887756426377E-4
hCoV-19/PapuaNewGuinea/9/2020|EPI_ISL_693479|2020-09-14	2020.7021857923498	5.317511229056499E-4	-2.7478244152240815E-4
hCoV-19/PapuaNewGuinea/10/2020|EPI_ISL_693480|2020-09-28	2020.74043715847	5.807511229056499E-4	-2.612143991669576E-4
