Virus name	Accession ID	Collection date	Location	Host	Additional location information	Gender	Patient age	Patient status	Passage	Specimen	Additional host information	Lineage	Clade
hCoV-19/Switzerland/GE-HUG-6414/2020	EPI_ISL_429217	2020-04-06	Europe / Switzerland / Geneve	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Switzerland/GE-HUG-6065/2020	EPI_ISL_429220	2020-04-06	Europe / Switzerland / Geneve	Human		unknown	unknown	unknown	Original			B.1.128	G
hCoV-19/Switzerland/GE-HUG-6099/2020	EPI_ISL_429221	2020-04-06	Europe / Switzerland / Geneve	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Switzerland/GE-HUG-3655/2020	EPI_ISL_429222	2020-04-07	Europe / Switzerland / Geneve	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/Switzerland/GE-HUG-4644/2020	EPI_ISL_429223	2020-04-07	Europe / Switzerland / Geneve	Human		unknown	unknown	unknown	Original			B.1.1	GR
hCoV-19/DRC/1131/2020	EPI_ISL_429255	2020-04-05	Africa / Democratic Republic of the Congo / Kinshasa	Human		Female	52	unknown	Original			B.1.5	G
hCoV-19/DRC/1234/2020	EPI_ISL_429258	2020-04-06	Africa / Democratic Republic of the Congo / Kinshasa	Human		Male	44	unknown	Original			B.1.5	G
hCoV-19/DRC/1249/2020	EPI_ISL_429259	2020-04-06	Africa / Democratic Republic of the Congo / Kinshasa	Human		Male	30	unknown	Original			B.1.5	G
hCoV-19/Australia/VIC-CBA5/2020	EPI_ISL_430065	2020-04-08	Oceania / Australia / Victoria	Human		Female	38	unknown	Original	Oropharyngeal swab		B.1.1.71	GR
hCoV-19/Russia/StPetersburg-RII4705S/2020	EPI_ISL_430067	2020-04-07	Europe / Russia / Saint Petersburg	Human		Female	64	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4712V/2020	EPI_ISL_430068	2020-04-07	Europe / Russia / Saint Petersburg	Human		Female	65	Hospitalized	Vero P1	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4780S/2020	EPI_ISL_430069	2020-04-07	Europe / Russia / Saint Petersburg	Human		Female	40	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4917S/2020	EPI_ISL_430070	2020-04-07	Europe / Russia / Saint Petersburg	Human		Male	55	Hospitalized	Original	Nasopharyngeal swab		B.1.1.71	GR
hCoV-19/Russia/StPetersburg-RII4936S/2020	EPI_ISL_430071	2020-04-08	Europe / Russia / Saint Petersburg	Human		Male	47	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII4937S/2020	EPI_ISL_430072	2020-04-08	Europe / Russia / Saint Petersburg	Human		Female	52	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII4938S/2020	EPI_ISL_430073	2020-04-08	Europe / Russia / Saint Petersburg	Human		Female	47	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4944S/2020	EPI_ISL_430074	2020-04-08	Europe / Russia / Saint Petersburg	Human		Male	25	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII4949S/2020	EPI_ISL_430075	2020-04-09	Europe / Russia / Saint Petersburg	Human		Female	64	Hospitalized	Original	Nasopharyngeal swab		B.1.5	G
hCoV-19/Russia/StPetersburg-RII4969S/2020	EPI_ISL_430076	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	71	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4970S/2020	EPI_ISL_430077	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	unknown	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4972S/2020	EPI_ISL_430078	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	72	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4980S/2020	EPI_ISL_430079	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	50	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4983S/2020	EPI_ISL_430080	2020-04-10	Europe / Russia / Saint Petersburg	Human		Female	64	Hospitalized	Original	Nasopharyngeal swab		B.1.1	GR
